Series_Title,Released_Year,Decade,Certificate_Clean,Runtime,IMDB_Rating,Meta_score,Rating_Diff,No_of_Votes,Log_Votes,Gross,Log_Gross,Director,Star1,Star2,Star3,Star4,Avg_Star_Freq,Genre_Drama,Genre_Comedy,Genre_Crime,Genre_Adventure,Genre_Action,Genre_Thriller,Genre_Romance,Genre_Biography,Genre_Mystery,Genre_Animation,Genre_Sci-Fi,Genre_Fantasy,Genre_Family,Genre_History,Genre_War,Genre_Music,Genre_Horror,Genre_Western,Genre_Film-Noir,Genre_Sport,Genre_Musical
The Shawshank Redemption,1994,1990,Restricted,142,9.3,80.0,1.3,2343110,14.667,28341469.0,17.16,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,3.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Godfather,1972,1970,Restricted,175,9.2,100.0,-0.8,1620367,14.298,134966411.0,18.721,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,Diane Keaton,6.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dark Knight,2008,2000,Parental Guidance,152,9.0,84.0,0.6,2303232,14.65,534858444.0,20.098,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,5.75,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Godfather: Part II,1974,1970,Restricted,202,9.0,90.0,0.0,1129952,13.938,57300000.0,17.864,Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton,10.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12 Angry Men,1957,1950,All Ages,96,9.0,96.0,-0.6,689845,13.444,4360000.0,15.288,Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Return of the King,2003,2000,All Ages,201,8.9,94.0,-0.5,1642758,14.312,377845905.0,19.75,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian Mckellen,Orlando Bloom,4.75,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pulp Fiction,1994,1990,Restricted,154,8.9,94.0,-0.5,1826188,14.418,107928762.0,18.497,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,4.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schindler's List,1993,1990,Restricted,195,8.9,94.0,-0.5,1213505,14.009,96898818.0,18.389,Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Inception,2010,2010,Parental Guidance,148,8.8,74.0,1.4,2067042,14.542,292576195.0,19.494,Christopher Nolan,Leonardo Dicaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,5.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Fight Club,1999,1990,Restricted,139,8.8,66.0,2.2,1854740,14.433,37030102.0,17.427,David Fincher,Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier,5.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
